City,Date,Consumption (kWh),Temperature (°C),Peak Hours Usage (kWh)
New York,2025-01-01,455,30.5,148.9
New York,2025-01-02,504,31.5,225.9
New York,2025-01-03,630,-3.2,271.0
New York,2025-01-04,463,3.2,230.7
New York,2025-01-05,501,1.8,150.8
New York,2025-01-06,454,30.4,207.9
New York,2025-01-07,601,25.9,207.7
New York,2025-01-08,417,27.0,174.9
New York,2025-01-09,413,10.7,174.4
New York,2025-01-10,426,31.7,165.2
New York,2025-01-11,596,-4.7,215.9
New York,2025-01-12,460,10.7,212.8
New York,2025-01-13,450,35.0,155.7
New York,2025-01-14,631,-4.3,241.4
New York,2025-01-15,509,1.0,214.7
New York,2025-01-16,484,29.0,196.1
New York,2025-01-17,438,24.8,203.2
New York,2025-01-18,592,27.4,195.8
New York,2025-01-19,670,19.5,201.0
New York,2025-01-20,680,30.4,338.1
New York,2025-01-21,660,-1.8,224.5
New York,2025-01-22,447,20.6,171.5
New York,2025-01-23,560,18.0,198.7
New York,2025-01-24,596,7.7,193.9
New York,2025-01-25,634,25.5,190.2
New York,2025-01-26,593,24.6,261.4
New York,2025-01-27,544,-4.8,212.1
New York,2025-01-28,558,4.2,253.1
New York,2025-01-29,597,5.9,210.7
New York,2025-01-30,523,28.3,250.4
Los Angeles,2025-01-01,572,6.7,172.9
Los Angeles,2025-01-02,615,27.2,261.2
Los Angeles,2025-01-03,674,10.1,243.7
Los Angeles,2025-01-04,527,33.9,182.0
Los Angeles,2025-01-05,413,6.6,128.7
Los Angeles,2025-01-06,585,28.0,262.9
Los Angeles,2025-01-07,495,-3.0,172.4
Los Angeles,2025-01-08,620,0.8,265.4
Los Angeles,2025-01-09,453,10.0,150.7
Los Angeles,2025-01-10,630,33.1,198.7
Los Angeles,2025-01-11,586,5.9,289.5
Los Angeles,2025-01-12,456,1.1,192.1
Los Angeles,2025-01-13,509,6.6,214.3
Los Angeles,2025-01-14,494,33.2,194.4
Los Angeles,2025-01-15,587,31.6,254.3
Los Angeles,2025-01-16,669,8.2,261.3
Los Angeles,2025-01-17,622,33.6,291.5
Los Angeles,2025-01-18,490,-1.4,211.6
Los Angeles,2025-01-19,588,0.8,223.7
Los Angeles,2025-01-20,687,3.9,268.1
Los Angeles,2025-01-21,600,29.9,294.6
Los Angeles,2025-01-22,499,12.5,191.1
Los Angeles,2025-01-23,665,15.1,268.7
Los Angeles,2025-01-24,675,3.4,207.1
Los Angeles,2025-01-25,584,32.9,190.5
Los Angeles,2025-01-26,676,5.8,291.8
Los Angeles,2025-01-27,606,14.7,235.1
Los Angeles,2025-01-28,521,31.0,164.3
Los Angeles,2025-01-29,613,28.3,209.7
Los Angeles,2025-01-30,515,2.9,252.0
Chicago,2025-01-01,583,30.7,268.7
Chicago,2025-01-02,696,22.9,260.8
Chicago,2025-01-03,562,21.5,204.3
Chicago,2025-01-04,697,30.9,280.9
Chicago,2025-01-05,652,6.5,249.2
Chicago,2025-01-06,583,-0.7,219.0
Chicago,2025-01-07,440,8.5,198.1
Chicago,2025-01-08,495,-4.1,223.4
Chicago,2025-01-09,662,27.3,247.1
Chicago,2025-01-10,406,1.9,162.3
Chicago,2025-01-11,654,15.2,275.0
Chicago,2025-01-12,674,16.9,268.2
Chicago,2025-01-13,607,-2.1,183.4
Chicago,2025-01-14,598,19.5,196.7
